Taxon,State,Age,Stage,Max_age,Min_age,Formation,Group,Comments
Richardoestesia,Alberta,Cretaceous,,79.2,79,Dinosaur Park,Two Medicine,
Richardoestesia,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Richardoestesia,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Richardoestesia,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Richardoestesia,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Richardoestesia,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Richardoestesia,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Richardoestesia,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Richardoestesia,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Richardoestesia,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Richardoestesia,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Richardoestesia,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,79.7,79,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,79.7,79,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,79.7,79.5,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,79.7,79,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,79.7,79,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,79.7,79,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,79.7,79,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,79.7,79,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,79.2,79,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,79.2,79,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,79.2,79,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,79.2,79,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,79.2,79,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,79.2,79,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,79.7,79,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,79.7,79,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,79.7,79,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,79.7,79,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,79.2,79,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,79.2,79,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,81.3,76.2,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,81.3,76.2,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,81.3,76.2,Dinosaur Park,Two Medicine,
