collection_no,source_database,collection.authorizer,family_name,occurrence.genus_reso,occurrence.genus_name,original.genus_reso,original.genus_name,abund_value,abund_unit,occurrence.reference_no,original.reference_no,collection.reference_no,country,state,county,latdec,lngdec,period,epoch,subepoch,stage,10_my_bin,max_interval,min_interval,ma_max,ma_min,ma_mid,geological_group,formation,member,stratcomments,lithdescript,lithadj,lithadj2,environment,geology_comments,,,,,,,
14392,Fossilworks,J. Alroy,,,Tenontosaurus,,,18,individuals,1219,,1212,United States,Oklahoma,Atoka,34.4,-96.1,Cretaceous,Early/Lower Cretaceous,,,,Late/Upper Aptian,Early/Lower Albian,122.46,109,115.73,Trinity,Antlers,middle,"said to be late Aptian to early Albian microvertebrates are from ""1-1.5 m below the dinosaur-bearing horizon"" (Nydam and Cifelli 2002b)","""red and gray/green claystone with intermittent lenses of poorly consolidated sandstones and numerous carbonate concretions"" (Nydam and Cifelli 2002b)","concretionary,gray,green,red","lenticular,brown,yellow","""floodplain""","""overbank deposit associated with a meandering fluvial system"" (Nydam and Cifelli 2002b)",,,,,,,
14392,Fossilworks,J. Alroy,,,Astrodon,,,,,1219,,1212,United States,Oklahoma,Atoka,34.4,-96.1,Cretaceous,Early/Lower Cretaceous,,,,Late/Upper Aptian,Early/Lower Albian,122.46,109,115.73,Trinity,Antlers,middle,"said to be late Aptian to early Albian microvertebrates are from ""1-1.5 m below the dinosaur-bearing horizon"" (Nydam and Cifelli 2002b)","""red and gray/green claystone with intermittent lenses of poorly consolidated sandstones and numerous carbonate concretions"" (Nydam and Cifelli 2002b)","concretionary,gray,green,red","lenticular,brown,yellow","""floodplain""","""overbank deposit associated with a meandering fluvial system"" (Nydam and Cifelli 2002b)",,,,,,,
14392,Fossilworks,J. Alroy,Dromaeosauridae,cf.,Deinonychus,,,,,1219,,1212,United States,Oklahoma,Atoka,34.4,-96.1,Cretaceous,Early/Lower Cretaceous,,,,Late/Upper Aptian,Early/Lower Albian,122.46,109,115.73,Trinity,Antlers,middle,"said to be late Aptian to early Albian microvertebrates are from ""1-1.5 m below the dinosaur-bearing horizon"" (Nydam and Cifelli 2002b)","""red and gray/green claystone with intermittent lenses of poorly consolidated sandstones and numerous carbonate concretions"" (Nydam and Cifelli 2002b)","concretionary,gray,green,red","lenticular,brown,yellow","""floodplain""","""overbank deposit associated with a meandering fluvial system"" (Nydam and Cifelli 2002b)",,,,,,,
14392,Fossilworks,J. Alroy,Carcharodontosauridae,,Acrocanthosaurus,,Acrocanthosaurus,1,individuals,12427,1219,1212,United States,Oklahoma,Atoka,34.4,-96.1,Cretaceous,Early/Lower Cretaceous,,,,Late/Upper Aptian,Early/Lower Albian,122.46,109,115.73,Trinity,Antlers,middle,"said to be late Aptian to early Albian microvertebrates are from ""1-1.5 m below the dinosaur-bearing horizon"" (Nydam and Cifelli 2002b)","""red and gray/green claystone with intermittent lenses of poorly consolidated sandstones and numerous carbonate concretions"" (Nydam and Cifelli 2002b)","concretionary,gray,green,red","lenticular,brown,yellow","""floodplain""","""overbank deposit associated with a meandering fluvial system"" (Nydam and Cifelli 2002b)",,,,,,,
24178,Fossilworks,J. Alroy,,n. gen.,Sauroposeidon,,,,,6837,,6837,United States,Oklahoma,Atoka,34.4,-96.1,Cretaceous,Early/Lower Cretaceous,,,,Aptian,Albian,125.45,99.7,112.575,Trinity,Antlers,middle,no details given,claystone,,,terrestrial indet.,no details given,,,,,,,
25147,PaleoDB,M. Carrano,Carcharodontosauridae,,Acrocanthosaurus,,,1,individuals,7057,,7057,United States,Oklahoma,McCurtain,34.166667,-94.766667,Cretaceous,Early/Lower Cretaceous,,Aptian,Cretaceous 3,Aptian,,125.45,112.6,119.025,Trinity,Antlers,,,,,,terrestrial indet.,,,,,,,,
25148,PaleoDB,M. Carrano,Carcharodontosauridae,,Acrocanthosaurus,,,1,individuals,7059,,7059,United States,Oklahoma,Atoka,34.18,-95.806389,Cretaceous,Early/Lower Cretaceous,,Aptian,Cretaceous 3,Aptian,,125.45,112.6,119.025,Trinity,Antlers,,,"""fine yellow sand which locally contained masses of light gray clay nodules""","gray,yellow",gray,terrestrial indet.,"author debates interpretations as ""beach sand"" versus a more ""hinterland"" origin",,,,,,,
25149,PaleoDB,M. Carrano,Carcharodontosauridae,n. gen.,Acrocanthosaurus,,,1,individuals,7059,,7059,United States,Oklahoma,Atoka,34.18,-95.792222,Cretaceous,Early/Lower Cretaceous,,Aptian,Cretaceous 3,Aptian,,125.45,112.6,119.025,Trinity,Antlers,,,"""dark, red-brown, arenaceous shale""","brown,red",,terrestrial indet.,"author debates between ""beach"" and ""hinterland"" origins",,,,,,,
49525,ETE,M. Carrano,Ceratopsidae,,Triceratops,,,1,specimens,7835,,7835,United States,Colorado,Adams,39.920556,-104.865278,Cretaceous,Late/Upper Cretaceous,,Maastrichtian,Cretaceous 8,Maastrichtian,,70.6,66.043,68.3215,,Arapahoe,,,,,,terrestrial indet.,,,,,,,,
28432,ETE,M. Carrano,,n. gen.,Pleurocoelus,,,,,7834,,7834,United States,Maryland,Prince George's,39.61889,-76.884008,Cretaceous,Early/Lower Cretaceous,,Aptian,Cretaceous 3,Early/Lower Aptian,,125.45,122.46,123.955,Potomac,Arundel Clay,,"Originall described as ""Potomac Formation"" and ""Upper Jurassic""; now considered early-mid Aptian","""variegated red and gray clays""","gray,red",,lacustrine indet.,,,,,,,,
